cb_date,bs_date,cb_desc,bs_desc,cb_credit,bs_credit,cb_debit,bs_debit,cb_balance,bs_balance,date_diff,desc_similarity,debit_diff,credit_diff,balance_diff,label
2020-01-01,2020-01-01,software consulting service payment,software consulting service payment,500000.0,500000.0,0.0,0.0,5500000.0,5500000.0,0,100,0.0,0.0,0.0,0
2020-01-01,2020-01-01,software consulting service payment,office rent payment - january,500000.0,0.0,0.0,150000.0,5500000.0,5350000.0,0,44,150000.0,500000.0,150000.0,1
2020-01-01,2020-01-02,software consulting service payment,client payment - custom software development,500000.0,300000.0,0.0,0.0,5500000.0,5650000.0,1,43,0.0,200000.0,150000.0,1
2020-01-01,2020-01-02,software consulting service payment,software subscription - yearly renewal,500000.0,0.0,0.0,200000.0,5500000.0,5450000.0,1,55,200000.0,500000.0,50000.0,1
2020-01-01,2020-01-03,software consulting service payment,cloud application development,500000.0,450000.0,0.0,0.0,5500000.0,5900000.0,2,50,0.0,50000.0,400000.0,1
2020-01-01,2020-01-03,software consulting service payment,staff welfare fund,500000.0,0.0,0.0,50000.0,5500000.0,5850000.0,2,34,50000.0,500000.0,350000.0,1
2020-01-01,2020-01-04,software consulting service payment,new software release revenue,500000.0,600000.0,0.0,0.0,5500000.0,6450000.0,3,51,0.0,100000.0,950000.0,1
2020-01-01,2020-01-04,software consulting service payment,marketing campaign - social media ads,500000.0,0.0,0.0,100000.0,5500000.0,6350000.0,3,36,100000.0,500000.0,850000.0,1
2020-01-01,2020-01-05,software consulting service payment,api integration service - client alpha,500000.0,200000.0,0.0,0.0,5500000.0,6550000.0,4,49,0.0,300000.0,1050000.0,1
2020-01-01,2020-01-05,software consulting service payment,it hardware purchase,500000.0,0.0,0.0,300000.0,5500000.0,6250000.0,4,40,300000.0,500000.0,750000.0,1
2020-01-01,2020-01-06,software consulting service payment,software product sale,500000.0,350000.0,0.0,0.0,5500000.0,6600000.0,5,57,0.0,150000.0,1100000.0,1
2020-01-01,2020-01-06,software consulting service payment,office supplies purchase,500000.0,0.0,0.0,75000.0,5500000.0,6525000.0,5,44,75000.0,500000.0,1025000.0,1
2020-01-01,2020-01-07,software consulting service payment,saas revenue payment,500000.0,500000.0,0.0,0.0,5500000.0,7025000.0,6,55,0.0,0.0,1525000.0,1
2020-01-01,2020-01-07,software consulting service payment,server maintenance service,500000.0,0.0,0.0,125000.0,5500000.0,6900000.0,6,49,125000.0,500000.0,1400000.0,1
2020-01-01,2020-01-08,software consulting service payment,enterprise software development payment,500000.0,650000.0,0.0,0.0,5500000.0,7550000.0,7,54,0.0,150000.0,2050000.0,1
2020-01-01,2020-01-08,software consulting service payment,freelancer payment - mobile app design,500000.0,0.0,0.0,80000.0,5500000.0,7470000.0,7,41,80000.0,500000.0,1970000.0,1
2020-01-01,2020-01-09,software consulting service payment,software license fee payment,500000.0,300000.0,0.0,0.0,5500000.0,7770000.0,8,73,0.0,200000.0,2270000.0,1
2020-01-01,2020-01-09,software consulting service payment,business travel expenses - conference,500000.0,0.0,0.0,120000.0,5500000.0,7650000.0,8,33,120000.0,500000.0,2150000.0,1
2020-01-01,2020-01-10,software consulting service payment,custom software solution sale,500000.0,450000.0,0.0,0.0,5500000.0,8100000.0,9,56,0.0,50000.0,2600000.0,1
2020-01-01,2020-01-10,software consulting service payment,office utilities payment,500000.0,0.0,0.0,80000.0,5500000.0,8020000.0,9,58,80000.0,500000.0,2520000.0,1
2020-01-01,2020-01-11,software consulting service payment,cloud application subscription payment,500000.0,600000.0,0.0,0.0,5500000.0,8620000.0,10,52,0.0,100000.0,3120000.0,1
2020-01-01,2020-01-11,software consulting service payment,legal fees - ip protection,500000.0,0.0,0.0,75000.0,5500000.0,8545000.0,10,30,75000.0,500000.0,3045000.0,1
2020-01-01,2020-01-12,software consulting service payment,digital marketing consulting fee,500000.0,700000.0,0.0,0.0,5500000.0,9245000.0,11,54,0.0,200000.0,3745000.0,1
2020-01-01,2020-01-12,software consulting service payment,staff bonuses,500000.0,0.0,0.0,100000.0,5500000.0,9145000.0,11,38,100000.0,500000.0,3645000.0,1
2020-01-01,2020-01-13,software consulting service payment,software update revenue,500000.0,550000.0,0.0,0.0,5500000.0,9695000.0,12,55,0.0,50000.0,4195000.0,1
2020-01-01,2020-01-13,software consulting service payment,business expenses - miscellaneous,500000.0,0.0,0.0,70000.0,5500000.0,9625000.0,12,32,70000.0,500000.0,4125000.0,1
2020-01-01,2020-01-14,software consulting service payment,api integration service - client beta,500000.0,400000.0,0.0,0.0,5500000.0,10025000.0,13,50,0.0,100000.0,4525000.0,1
2020-01-01,2020-01-14,software consulting service payment,freelancer payment - backend developer,500000.0,0.0,0.0,150000.0,5500000.0,9875000.0,13,41,150000.0,500000.0,4375000.0,1
2020-01-01,2020-01-15,software consulting service payment,cloud solution development payment,500000.0,450000.0,0.0,0.0,5500000.0,10325000.0,14,55,0.0,50000.0,4825000.0,1
2020-01-01,2020-01-15,software consulting service payment,office rent payment,500000.0,0.0,0.0,150000.0,5500000.0,10175000.0,14,52,150000.0,500000.0,4675000.0,1
2020-01-01,2020-01-16,software consulting service payment,software product licensing fee,500000.0,500000.0,0.0,0.0,5500000.0,10675000.0,15,55,0.0,0.0,5175000.0,1
